"PERMNO" "DATE" "TICKER" "PRC" "RET" "RETX" "vwretd" "vwretx" "ewretd" "ewretx" "sprtrn"
"1" 11850 20040102 "XOM" 40.63 -0.009024 -0.009024 -0.000786 -0.000861 0.00607 0.006048 -0.003094
"2" 11850 20040105 "XOM" 41.58 0.023382 0.023382 0.012265 0.01226 0.012936 0.012927 0.012395
"3" 11850 20040106 "XOM" 41.3 -0.006734 -0.006734 0.00195 0.001916 0.004868 0.004855 0.001292
"4" 11850 20040107 "XOM" 41 -0.007264 -0.007264 0.002715 0.002519 0.005653 0.005574 0.002367
"5" 11850 20040108 "XOM" 40.9 -0.002439 -0.002439 0.004865 0.004831 0.008348 0.008317 0.004963
"6" 11850 20040109 "XOM" 40.29 -0.014914 -0.014914 -0.006232 -0.006242 -0.000313 -0.000341 -0.008888
"7" 11850 20040112 "XOM" 40.86 0.014147 0.014147 0.005254 0.005231 0.00883 0.008809 0.004787
"8" 11850 20040113 "XOM" 40.68 -0.004405 -0.004405 -0.004593 -0.004657 -0.000546 -0.000738 -0.005332
"9" 11850 20040114 "XOM" 40.68 0 0 0.007246 0.007202 0.006933 0.006825 0.008295
"10" 11850 20040115 "XOM" 40.28 -0.009833 -0.009833 0.001137 0.001115 0.001466 0.0014 0.001353
"11" 11850 20040116 "XOM" 40.5 0.005462 0.005462 0.006975 0.006972 0.008029 0.008025 0.006872
"12" 11850 20040120 "XOM" 40.88 0.009383 0.009383 0.002586 0.002568 0.012299 0.012251 -0.00093
"13" 11850 20040121 "XOM" 41.43 0.013454 0.013454 0.005597 0.005539 0.002608 0.002564 0.007772
"14" 11850 20040122 "XOM" 41.28 -0.003621 -0.003621 -0.002895 -0.002925 -0.003088 -0.003121 -0.003207
"15" 11850 20040123 "XOM" 41.04 -0.005814 -0.005814 -0.001379 -0.001389 0.003266 0.003247 -0.002089
"16" 11850 20040126 "XOM" 41.55 0.012427 0.012427 0.010495 0.010494 0.007669 0.007654 0.012106
"17" 11850 20040127 "XOM" 41.19 -0.008664 -0.008664 -0.008577 -0.008581 -0.002394 -0.002399 -0.009798
"18" 11850 20040128 "XOM" 40.81 -0.009225 -0.009225 -0.014186 -0.014349 -0.013049 -0.013226 -0.01361
"19" 11850 20040129 "XOM" 41.47 0.016173 0.016173 0.001366 0.001162 -0.008374 -0.00843 0.004989
"20" 11850 20040130 "XOM" 40.79 -0.016397 -0.016397 -0.000616 -0.000623 0.00353 0.003517 -0.002628
"21" 11850 20040202 "XOM" 40.69 -0.002452 -0.002452 0.002934 0.002917 0.000397 0.000365 0.003651
"22" 11850 20040203 "XOM" 40.41 -0.006881 -0.006881 0.000129 0.000121 3.5e-05 1e-05 0.000678
"23" 11850 20040204 "XOM" 40.35 -0.001485 -0.001485 -0.009921 -0.010064 -0.014544 -0.014624 -0.008371
"24" 11850 20040205 "XOM" 40.38 0.000744 0.000744 0.00228 0.002248 0.001911 0.001839 0.001838
"25" 11850 20040206 "XOM" 40.51 0.003219 0.003219 0.014348 0.0143 0.016339 0.016299 0.012555
"26" 11850 20040209 "XOM" 40.73 0.011602 0.005431 -4e-04 -0.000547 0.004509 0.004477 -0.002581
"27" 11850 20040210 "XOM" 41.09 0.008839 0.008839 0.005811 0.005798 0.00723 0.007169 0.005027
"28" 11850 20040211 "XOM" 41.92 0.0202 0.0202 0.010257 0.009918 0.007439 0.00713 0.010667
"29" 11850 20040212 "XOM" 41.91 -0.000239 -0.000239 -0.004532 -0.004623 -0.002436 -0.00255 -0.00488
"30" 11850 20040213 "XOM" 41.91 0 0 -0.005319 -0.005384 -0.005332 -0.005352 -0.005468
"31" 11850 20040217 "XOM" 42.23 0.007635 0.007635 0.009802 0.009793 0.009204 0.009187 0.009757
"32" 11850 20040218 "XOM" 41.8 -0.010182 -0.010182 -0.004462 -0.004571 -0.003134 -0.003194 -0.004468
"33" 11850 20040219 "XOM" 41.95 0.003589 0.003589 -0.005333 -0.005367 -0.006904 -0.00694 -0.004133
"34" 11850 20040220 "XOM" 42.03 0.001907 0.001907 -0.003535 -0.003559 -0.005238 -0.005272 -0.002572
"35" 11850 20040223 "XOM" 42.58 0.013086 0.013086 -0.00503 -0.005059 -0.0108 -0.010816 -0.002727
"36" 11850 20040224 "XOM" 42.31 -0.006341 -0.006341 -0.00097 -0.000974 -0.002408 -0.002415 -0.001665
"37" 11850 20040225 "XOM" 42.65 0.008036 0.008036 0.005122 0.005001 0.00674 0.006608 0.004021
"38" 11850 20040226 "XOM" 42.31 -0.007972 -0.007972 0.002926 0.002699 0.006325 0.006239 0.001084
"39" 11850 20040227 "XOM" 42.17 -0.003309 -0.003309 0.001566 0.001557 0.005456 0.005453 2.6e-05
"40" 11850 20040301 "XOM" 42.52 0.0083 0.0083 0.010248 0.010209 0.012118 0.012041 0.009625
"41" 11850 20040302 "XOM" 42.04 -0.011289 -0.011289 -0.005627 -0.00564 -0.002248 -0.00226 -0.005934
"42" 11850 20040303 "XOM" 41.9 -0.00333 -0.00333 0.001201 0.000992 0.002227 0.002129 0.001688
"43" 11850 20040304 "XOM" 41.75 -0.00358 -0.00358 0.004562 0.004533 0.007842 0.007797 0.003336
"44" 11850 20040305 "XOM" 42.49 0.017725 0.017725 0.002974 0.002961 0.003454 0.003434 0.001723
"45" 11850 20040308 "XOM" 42.56 0.001647 0.001647 -0.008042 -0.008105 -0.00601 -0.006058 -0.00835
"46" 11850 20040309 "XOM" 42.78 0.005169 0.005169 -0.006624 -0.006658 -0.007299 -0.007324 -0.005779
"47" 11850 20040310 "XOM" 42.43 -0.008181 -0.008181 -0.015174 -0.015282 -0.014762 -0.014877 -0.014633
"48" 11850 20040311 "XOM" 41.35 -0.025454 -0.025454 -0.013986 -0.014278 -0.011873 -0.0122 -0.015224
"49" 11850 20040312 "XOM" 42.03 0.016445 0.016445 0.012785 0.012771 0.014299 0.014182 0.01246
"50" 11850 20040315 "XOM" 41.78 -0.005948 -0.005948 -0.015542 -0.015574 -0.016513 -0.016559 -0.01435
"51" 11850 20040316 "XOM" 42.07 0.006941 0.006941 0.004597 0.004571 -0.00122 -0.001249 0.005623
"52" 11850 20040317 "XOM" 42.24 0.004041 0.004041 0.012464 0.012397 0.013407 0.013328 0.011749
"53" 11850 20040318 "XOM" 42.46 0.005208 0.005208 -0.0015 -0.001519 -0.001807 -0.001837 -0.001273
"54" 11850 20040319 "XOM" 41.5 -0.022609 -0.022609 -0.009451 -0.009469 -0.00302 -0.003054 -0.011173
"55" 11850 20040322 "XOM" 40.94 -0.013494 -0.013494 -0.014016 -0.014033 -0.01614 -0.016176 -0.012958
"56" 11850 20040323 "XOM" 40.76 -0.004397 -0.004397 -0.000694 -0.000698 0.001573 0.001557 -0.001324
"57" 11850 20040324 "XOM" 40.1 -0.016192 -0.016192 -0.003346 -0.003356 -0.003036 -0.003078 -0.002395
"58" 11850 20040325 "XOM" 40.25 0.003741 0.003741 0.016656 0.016643 0.013398 0.013375 0.016365
"59" 11850 20040326 "XOM" 40.74 0.012174 0.012174 0.000327 0.000321 0.003268 0.003221 -0.001019
"60" 11850 20040329 "XOM" 41.09 0.008591 0.008591 0.013132 0.012923 0.011186 0.010927 0.013005
"61" 11850 20040330 "XOM" 41.55 0.011195 0.011195 0.005166 0.005134 0.006653 0.006605 0.004036
"62" 11850 20040331 "XOM" 41.59 0.000963 0.000963 0.000196 0.000127 0.004052 0.004012 -0.000701
"63" 11850 20040401 "XOM" 41.52 -0.001683 -0.001683 0.006666 0.006638 0.006876 0.00683 0.005292
"64" 11850 20040402 "XOM" 41.91 0.009393 0.009393 0.008592 0.008538 0.009104 0.009091 0.008515
